Name,Morningstar Category,YTD (Daily),1 Yr,3 Yr,5 Yr,10 Yr,Life of Fund,Expense Ratio - Net,Expense Ratio - Gross,Morningstar- Overall,Morningstar- 3yrs,Morningstar- 5yrs,Morningstar- 10yrs,Morningstar Category Risk,Standard Deviation,3 Year Sharpe Ratio,Beta,R2,Manager Tenure,Inception Date,Assets (Millions),Turnover Rates,Minimum Investment,Load (Y/N),Expense Ratio - Net,Expense Ratio - Gross,NTF,1-year Rank,3-year Rank,5-year Rank,10-year Rank,Average Maturity,Average Duration,Minimum Investment,7-Day Yield,30-Day Yield,Last Dividend,YTD (Daily),1 Month,3 Month,YTD,NAV ($),NAV Change ($),NAV Change (%),30-Day Yield (%),7-Day Yield (%),Minimum Investment,Last Dividend
Delaware Small Cap Growth Fund Class A (DSGDX),Small Growth,-3.43%,55.99% (6/30/2021),31.58% (6/30/2021),31.60% (6/30/2021),-,31.60% (6/30/2021),1.30%,1.65%,5 (576 Rated),5 (576 Rated),5 (505 Rated),-,7,29.70 (06/30/2021),1.02 (06/30/2021),1.08 (06/30/2021),0.86 (06/30/2021),5 years,06/30/2016,$221.16,118% (03/31/2021),"$2,500.00",Y,1.30%,1.65%,N,  37% (612 Funds),   6% (576 Funds),   5% (505 Funds),-,-,-,"$2,500",-,-1.11% (06/30/2021),-,-3.43% (7/15/2021),4.84% (6/30/2021),3.12% (6/30/2021),3.89% (6/30/2021),$16.90,-$0.21,-1.23%,-,-,"$2,500.00",-
Delaware Small Cap Value Fund Class A (DEVLX),Small Value,20.67%,63.41% (6/30/2021),8.29% (6/30/2021),11.87% (6/30/2021),10.08% (6/30/2021),11.15% (6/30/2021),1.14%,1.14%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,27.77 (06/30/2021),0.25 (06/30/2021),1.02 (06/30/2021),0.97 (06/30/2021),24 years,06/24/1987,"$6,303.05",23% (11/30/2020),"$2,500.00",Y,1.14%,1.14%,N,  68% (433 Funds),  60% (409 Funds),  55% (383 Funds),  50% (285 Funds),-,-,"$2,500",-,0.47% (06/30/2021),$0.409 (12/18/2020),20.67% (7/15/2021),-3.06% (6/30/2021),3.42% (6/30/2021),24.00% (6/30/2021),$72.11,-$0.24,-0.33%,-,-,"$2,500.00",$0.409 (12/18/2020)
Delaware Small Cap Value Fund Class C (DEVCX),Small Value,20.18%,62.20% (6/30/2021),7.48% (6/30/2021),11.04% (6/30/2021),9.26% (6/30/2021),10.34% (6/30/2021),1.89%,1.89%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,27.75 (06/30/2021),0.22 (06/30/2021),1.02 (06/30/2021),0.97 (06/30/2021),24 years,06/24/1987,"$6,303.05",23% (11/30/2020),"$2,500.00",N,1.89%,1.89%,N,  72% (433 Funds),  71% (409 Funds),  68% (383 Funds),  71% (285 Funds),-,-,"$2,500",-,-0.14% (06/30/2021),$0.066 (12/18/2020),20.18% (7/15/2021),-3.12% (6/30/2021),3.22% (6/30/2021),23.54% (6/30/2021),$57.94,-$0.20,-0.34%,-,-,"$2,500.00",$0.066 (12/18/2020)
Delaware Smid Cap Growth Fund Class A (DFCIX),Mid-Cap Growth,-6.40%,51.24% (6/30/2021),30.71% (6/30/2021),27.37% (6/30/2021),18.17% (6/30/2021),15.15% (6/30/2021),1.10%,1.10%,5 (546 Rated),5 (546 Rated),5 (489 Rated),5 (379 Rated),6,28.35 (06/30/2021),1.04 (06/30/2021),1.08 (06/30/2021),0.86 (06/30/2021),5 years,03/27/1986,"$5,182.06",79% (03/31/2021),"$2,500.00",Y,1.10%,1.10%,N,  26% (579 Funds),   5% (546 Funds),   6% (489 Funds),   3% (379 Funds),-,-,"$2,500",-,-0.91% (06/30/2021),$   0.00 (12/05/2016),-6.40% (7/15/2021),5.24% (6/30/2021),2.58% (6/30/2021),-0.16% (6/30/2021),$41.41,-$0.51,-1.22%,-,-,"$2,500.00",$   0.00 (12/05/2016)
Delaware Smid Cap Growth Fund Class C (DEEVX),Mid-Cap Growth,-6.78%,50.11% (6/30/2021),29.74% (6/30/2021),26.41% (6/30/2021),17.29% (6/30/2021),14.32% (6/30/2021),1.85%,1.85%,5 (546 Rated),4 (546 Rated),4 (489 Rated),5 (379 Rated),6,28.33 (06/30/2021),1.00 (06/30/2021),1.08 (06/30/2021),0.86 (06/30/2021),5 years,03/27/1986,"$5,182.06",79% (03/31/2021),"$2,500.00",N,1.85%,1.85%,N,  30% (579 Funds),   6% (546 Funds),   8% (489 Funds),   5% (379 Funds),-,-,"$2,500",-,-2.36% (06/30/2021),$   0.00 (12/05/2016),-6.78% (7/15/2021),5.24% (6/30/2021),2.42% (6/30/2021),-0.52% (6/30/2021),$14.30,-$0.17,-1.17%,-,-,"$2,500.00",$   0.00 (12/05/2016)
Delaware Value Fund Class A (DDVAX),Large Value,13.43%,32.51% (6/30/2021),8.71% (6/30/2021),8.82% (6/30/2021),11.15% (6/30/2021),7.87% (6/30/2021),0.93%,0.93%,3 (1141 Rated),2 (1141 Rated),2 (1012 Rated),3 (740 Rated),6,19.58 (06/30/2021),0.38 (06/30/2021),0.96 (06/30/2021),0.96 (06/30/2021),17 years,09/14/1998,"$10,806.48",25% (11/30/2020),"$2,500.00",Y,0.93%,0.93%,N,  88% (1210 Funds),  88% (1141 Funds),  92% (1012 Funds),  48% (740 Funds),-,-,"$2,500",-,1.08% (06/30/2021),$0.057 (06/22/2021),13.43% (7/15/2021),-2.30% (6/30/2021),2.90% (6/30/2021),12.14% (6/30/2021),$24.57,$0.08,0.33%,-,-,"$2,500.00",$0.057 (06/22/2021)
Delaware Value Fund Class C (DDVCX),Large Value,12.98%,31.54% (6/30/2021),7.90% (6/30/2021),8.01% (6/30/2021),10.32% (6/30/2021),7.03% (6/30/2021),1.68%,1.68%,2 (1141 Rated),2 (1141 Rated),1 (1012 Rated),3 (740 Rated),6,19.58 (06/30/2021),0.34 (06/30/2021),0.96 (06/30/2021),0.96 (06/30/2021),17 years,09/14/1998,"$10,806.48",25% (11/30/2020),"$2,500.00",N,1.68%,1.68%,N,  90% (1210 Funds),  91% (1141 Funds),  95% (1012 Funds),  73% (740 Funds),-,-,"$2,500",-,0.39% (06/30/2021),$0.009 (06/22/2021),12.98% (7/15/2021),-2.34% (6/30/2021),2.75% (6/30/2021),11.74% (6/30/2021),$24.55,$0.08,0.33%,-,-,"$2,500.00",$0.009 (06/22/2021)
Destra Granahan Small Cap Advantage Fund Class I (DGISX),Small Growth,5.30%,63.69% (6/30/2021),-,-,-,41.80% (6/30/2021),1.51%,4.81%,-,-,-,-,7,-,-,-,-,2 years,08/08/2019,$24.54,85% (09/30/2020),"$100,000.00",N,1.51%,4.81%,N,  20% (612 Funds),-,-,-,-,-,"$100,000",-,-,$0.0245 (12/29/2020),5.30% (7/15/2021),7.27% (6/30/2021),6.85% (6/30/2021),12.57% (6/30/2021),$18.09,-$0.14,-0.77%,-,-,"$100,000.00",$0.0245 (12/29/2020)
DF Dent Midcap Growth Fund Institutional Shares (DFMGX),Mid-Cap Growth,7.44%,29.41% (6/30/2021),21.57% (6/30/2021),21.13% (6/30/2021),-,16.16% (6/30/2021),0.85%,0.94%,4 (546 Rated),4 (546 Rated),4 (489 Rated),-,6,20.05 (06/30/2021),1.01 (06/30/2021),0.89 (06/30/2021),0.94 (06/30/2021),10 years,07/01/2011,$715.10,31% (06/30/2020),"$500,000.00",N,0.85%,0.94%,N,  99% (579 Funds),  39% (546 Funds),  29% (489 Funds),-,-,-,"$500,000",-,-,-,7.44% (7/15/2021),3.39% (6/30/2021),8.50% (6/30/2021),7.04% (6/30/2021),$38.29,-$0.20,-0.52%,-,-,"$500,000.00",-
DF Dent Midcap Growth Fund Investor Shares (DFDMX),Mid-Cap Growth,7.41%,29.33% (6/30/2021),21.44% (6/30/2021),21.04% (6/30/2021),-,16.12% (6/30/2021),0.98%,1.01%,4 (546 Rated),4 (546 Rated),4 (489 Rated),-,6,20.04 (06/30/2021),1.00 (06/30/2021),0.89 (06/30/2021),0.94 (06/30/2021),10 years,07/01/2011,$715.10,31% (06/30/2020),"$2,500.00",N,0.98%,1.01%,N,  99% (579 Funds),  40% (546 Funds),  30% (489 Funds),-,-,-,"$2,500",-,-,-,7.41% (7/15/2021),3.37% (6/30/2021),8.51% (6/30/2021),7.04% (6/30/2021),$38.14,-$0.20,-0.52%,-,-,"$2,500.00",-
DF Dent Premier Growth Fund Investor Shares (DFDPX),Large Growth,11.67%,30.96% (6/30/2021),22.83% (6/30/2021),22.81% (6/30/2021),15.98% (6/30/2021),11.12% (6/30/2021),0.99%,1.15%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,19.65 (06/30/2021),1.10 (06/30/2021),0.99 (06/30/2021),0.87 (06/30/2021),20 years,07/16/2001,$430.97,23% (06/30/2020),"$2,500.00",N,0.99%,1.15%,N,  96% (1239 Funds),  46% (1138 Funds),  39% (1024 Funds),  51% (761 Funds),-,-,"$2,500",-,-,-,11.67% (7/15/2021),4.23% (6/30/2021),10.23% (6/30/2021),9.81% (6/30/2021),$50.63,-$0.12,-0.24%,-,-,"$2,500.00",-
DF Dent Small Cap Growth Fund Institutional Shares (DFSGX),Small Growth,5.32%,38.79% (6/30/2021),20.39% (6/30/2021),19.38% (6/30/2021),-,14.59% (6/30/2021),0.95%,1.72%,4 (576 Rated),4 (576 Rated),3 (505 Rated),-,7,23.06 (06/30/2021),0.83 (06/30/2021),0.86 (06/30/2021),0.91 (06/30/2021),8 years,11/01/2013,$81.64,38% (06/30/2020),"$500,000.00",N,0.95%,1.72%,N,  93% (612 Funds),  40% (576 Funds),  55% (505 Funds),-,-,-,"$500,000",-,-,-,5.32% (7/15/2021),3.56% (6/30/2021),7.10% (6/30/2021),7.29% (6/30/2021),$24.57,-$0.17,-0.69%,-,-,"$500,000.00",-
DF Dent Small Cap Growth Fund Investor Shares (DFDSX),Small Growth,5.25%,38.60% (6/30/2021),20.25% (6/30/2021),19.30% (6/30/2021),-,14.54% (6/30/2021),1.05%,1.66%,3 (576 Rated),4 (576 Rated),3 (505 Rated),-,7,23.03 (06/30/2021),0.82 (06/30/2021),0.86 (06/30/2021),0.91 (06/30/2021),8 years,11/01/2013,$81.64,38% (06/30/2020),"$2,500.00",N,1.05%,1.66%,N,  94% (612 Funds),  41% (576 Funds),  56% (505 Funds),-,-,-,"$2,500",-,-,-,5.25% (7/15/2021),3.53% (6/30/2021),7.08% (6/30/2021),7.22% (6/30/2021),$24.48,-$0.18,-0.73%,-,-,"$2,500.00",-
Diamond Hill All Cap Select Fund Investor Share (DHTAX),Mid-Cap Value,21.16%,70.59% (6/30/2021),16.66% (6/30/2021),17.62% (6/30/2021),13.07% (6/30/2021),9.80% (6/30/2021),1.16%,1.16%,5 (395 Rated),4 (395 Rated),5 (346 Rated),5 (246 Rated),6,26.78 (06/30/2021),0.57 (06/30/2021),1.29 (06/30/2021),0.87 (06/30/2021),8 years,12/30/2005,$360.46,76% (12/31/2020),"$2,500.00",N,1.16%,1.16%,N,  11% (414 Funds),   2% (395 Funds),   1% (346 Funds),   3% (246 Funds),-,-,"$2,500",-,-,$0.0515 (12/30/2020),21.16% (7/15/2021),-1.74% (6/30/2021),6.27% (6/30/2021),22.30% (6/30/2021),$22.33,$0.08,0.36%,-,-,"$2,500.00",$0.0515 (12/30/2020)
Diamond Hill Mid Cap Fund Investor Share (DHPAX),Mid-Cap Value,18.99%,56.03% (6/30/2021),9.20% (6/30/2021),10.31% (6/30/2021),-,8.62% (6/30/2021),1.07%,1.07%,2 (395 Rated),2 (395 Rated),2 (346 Rated),-,6,25.29 (06/30/2021),0.31 (06/30/2021),1.11 (06/30/2021),0.93 (06/30/2021),8 years,12/31/2013,$276.82,52% (12/31/2020),"$2,500.00",N,1.07%,1.07%,N,  43% (414 Funds),  76% (395 Funds),  77% (346 Funds),-,-,1.13 years (03/31/2021),"$2,500",-,-,$0.054 (12/30/2020),18.99% (7/15/2021),-3.05% (6/30/2021),5.86% (6/30/2021),20.18% (6/30/2021),$16.98,$0.01,0.06%,-,-,"$2,500.00",$0.054 (12/30/2020)
Diamond Hill Small Cap Fund Investor Share (DHSCX),Small Value,18.06%,61.76% (6/30/2021),7.17% (6/30/2021),8.80% (6/30/2021),8.28% (6/30/2021),9.97% (6/30/2021),1.26%,1.26%,3 (409 Rated),3 (409 Rated),2 (383 Rated),3 (285 Rated),7,25.92 (06/30/2021),0.23 (06/30/2021),0.96 (06/30/2021),0.89 (06/30/2021),14 years,12/29/2000,$577.37,34% (12/31/2020),"$2,500.00",N,1.26%,1.26%,N,  74% (433 Funds),  74% (409 Funds),  93% (383 Funds),  83% (285 Funds),-,-,"$2,500",-,-,$0.0988 (12/30/2020),18.06% (7/15/2021),-2.81% (6/30/2021),4.12% (6/30/2021),20.67% (6/30/2021),$36.55,$0.16,0.44%,-,-,"$2,500.00",$0.0988 (12/30/2020)
Dodge & Cox Stock Fund (DODGX),Large Value,24.15%,58.92% (6/30/2021),15.79% (6/30/2021),17.44% (6/30/2021),13.89% (6/30/2021),11.40% (6/30/2021),0.52%,0.52%,5 (1141 Rated),4 (1141 Rated),5 (1012 Rated),5 (740 Rated),6,23.56 (06/30/2021),0.61 (06/30/2021),1.19 (06/30/2021),0.88 (06/30/2021),30 years,01/04/1965,"$89,193.37",21% (12/31/2020),"$2,500.00",N,0.52%,0.52%,N,   6% (1210 Funds),  10% (1141 Funds),   3% (1012 Funds),   2% (740 Funds),-,-,"$2,500",-,1.21% (03/31/2021),$0.7 (06/25/2021),24.15% (7/15/2021),-0.20% (6/30/2021),8.83% (6/30/2021),26.09% (6/30/2021),$235.88,-$1.00,-0.42%,-,-,"$2,500.00",$0.7 (06/25/2021)
Domini Impact Equity Fund A Shares (DSEPX),Large Blend,12.26%,39.09% (6/30/2021),20.55% (6/30/2021),17.52% (6/30/2021),12.49% (6/30/2021),9.44% (6/30/2021),1.09%,1.47%,3 (1257 Rated),5 (1257 Rated),4 (1099 Rated),2 (820 Rated),6,18.09 (06/30/2021),1.06 (06/30/2021),0.96 (06/30/2021),0.96 (06/30/2021),3 years,06/03/1991,"$1,072.01",21% (07/31/2020),"$2,500.00",Y,1.09%,1.47%,N,  69% (1386 Funds),   7% (1257 Funds),  28% (1099 Funds),  76% (820 Funds),-,-,"$2,500",-,-,$0.011576 (06/16/2021),12.26% (7/15/2021),4.54% (6/30/2021),8.94% (6/30/2021),11.08% (6/30/2021),$34.25,-$0.16,-0.46%,-,-,"$2,500.00",$0.011576 (06/16/2021)
Domini Impact Equity Fund Investor Shares (DSEFX),Large Blend,12.27%,39.05% (6/30/2021),20.56% (6/30/2021),17.52% (6/30/2021),12.48% (6/30/2021),9.44% (6/30/2021),1.09%,1.09%,3 (1257 Rated),5 (1257 Rated),4 (1099 Rated),2 (820 Rated),6,18.08 (06/30/2021),1.06 (06/30/2021),0.96 (06/30/2021),0.96 (06/30/2021),3 years,06/03/1991,"$1,072.01",21% (07/31/2020),"$2,500.00",N,1.09%,1.09%,Y,  69% (1386 Funds),   7% (1257 Funds),  28% (1099 Funds),  76% (820 Funds),-,-,"$2,500",-,-,$0.0135021 (06/16/2021),12.27% (7/15/2021),4.51% (6/30/2021),8.91% (6/30/2021),11.05% (6/30/2021),$34.28,-$0.16,-0.46%,-,-,"$2,500.00",$0.0135021 (06/16/2021)
DoubleLine Shiller Enhanced CAPE Class I (DSEEX),Large Blend,17.05%,48.22% (6/30/2021),18.78% (6/30/2021),18.63% (6/30/2021),-,16.60% (6/30/2021),0.56%,0.56%,3 (1257 Rated),3 (1257 Rated),3 (1099 Rated),-,6,22.48 (06/30/2021),0.78 (06/30/2021),-,-,8 years,10/31/2013,"$9,617.54",69% (03/31/2021),"$100,000.00",N,0.56%,0.56%,N,  11% (1386 Funds),  23% (1257 Funds),   8% (1099 Funds),-,-,-,"$100,000",-,1.25% (06/30/2021),$0.02545335 (06/30/2021),17.05% (7/15/2021),1.31% (6/30/2021),8.82% (6/30/2021),15.64% (6/30/2021),$21.54,-$0.07,-0.32%,-,-,"$100,000.00",$0.02545335 (06/30/2021)
DoubleLine Shiller Enhanced CAPE Class N (DSENX),Large Blend,16.86%,47.88% (6/30/2021),18.49% (6/30/2021),18.35% (6/30/2021),-,16.32% (6/30/2021),0.81%,0.81%,3 (1257 Rated),3 (1257 Rated),3 (1099 Rated),-,6,22.42 (06/30/2021),0.77 (06/30/2021),-,-,8 years,10/31/2013,"$9,617.54",69% (03/31/2021),"$2,000.00",N,0.81%,0.81%,Y,  11% (1386 Funds),  32% (1257 Funds),  11% (1099 Funds),-,-,-,"$2,000",-,1.00% (06/30/2021),$0.02068644 (06/30/2021),16.86% (7/15/2021),1.29% (6/30/2021),8.76% (6/30/2021),15.50% (6/30/2021),$21.52,-$0.07,-0.32%,-,-,"$2,000.00",$0.02068644 (06/30/2021)
Driehaus Small Cap Growth Fund Institutional Class (DNSMX),Small Growth,7.20%,70.98% (6/30/2021),31.52% (6/30/2021),-,-,35.72% (6/30/2021),0.80%,0.80%,5 (576 Rated),5 (576 Rated),-,-,7,27.88 (06/30/2021),1.08 (06/30/2021),1.04 (06/30/2021),0.91 (06/30/2021),4 years,08/21/2017,$462.30,164% (12/31/2020),"$500,000.00",N,0.80%,0.80%,N,  13% (612 Funds),   6% (576 Funds),-,-,-,-,"$500,000",-,-,-,7.20% (7/15/2021),4.42% (6/30/2021),5.14% (6/30/2021),14.70% (6/30/2021),$25.60,-$0.35,-1.35%,-,-,"$500,000.00",-
Driehaus Small Cap Growth Fund Investor Class (DVSMX),Small Growth,7.07%,70.43% (6/30/2021),31.14% (6/30/2021),-,-,35.33% (6/30/2021),1.20%,1.35%,5 (576 Rated),5 (576 Rated),-,-,7,27.87 (06/30/2021),1.07 (06/30/2021),1.04 (06/30/2021),0.91 (06/30/2021),4 years,08/21/2017,$462.30,164% (12/31/2020),"$10,000.00",N,1.20%,1.35%,Y,  13% (612 Funds),   6% (576 Funds),-,-,-,-,"$10,000",-,-,-,7.07% (7/15/2021),4.36% (6/30/2021),5.01% (6/30/2021),14.56% (6/30/2021),$25.29,-$0.35,-1.37%,-,-,"$10,000.00",-
Driehaus Small/Mid Cap Growth Fund (DSMDX),Mid-Cap Growth,7.39%,61.94% (6/30/2021),-,-,-,79.27% (6/30/2021),0.95%,2.58%,-,-,-,-,6,-,-,-,-,1 year,05/01/2020,$24.24,96% (12/31/2020),"$2,500.00",N,0.95%,2.58%,N,   9% (579 Funds),-,-,-,-,-,"$2,500",-,-,-,7.39% (7/15/2021),4.96% (6/30/2021),7.57% (6/30/2021),13.21% (6/30/2021),$18.46,-$0.22,-1.18%,-,-,"$2,500.00",-
Dunham Focused Large Cap Growth Fund Class A (DAFGX),Large Growth,11.27%,35.73% (6/30/2021),27.10% (6/30/2021),25.42% (6/30/2021),-,17.72% (6/30/2021),1.55%,1.55%,4 (1138 Rated),4 (1138 Rated),4 (1024 Rated),-,6,23.16 (06/30/2021),1.11 (06/30/2021),1.13 (06/30/2021),0.93 (06/30/2021),10 years,12/08/2011,$201.19,17% (10/31/2020),"$5,000.00",Y,1.55%,1.55%,N,  86% (1239 Funds),  11% (1138 Funds),  15% (1024 Funds),-,-,-,"$5,000",-,-,$   0.00 (12/29/2015),11.27% (7/15/2021),8.19% (6/30/2021),13.03% (6/30/2021),9.90% (6/30/2021),$40.67,-$0.41,-1.00%,-,-,"$5,000.00",$   0.00 (12/29/2015)
Dunham Focused Large Cap Growth Fund Class N (DNFGX),Large Growth,11.44%,36.12% (6/30/2021),27.42% (6/30/2021),25.72% (6/30/2021),-,18.02% (6/30/2021),1.30%,1.30%,4 (1138 Rated),4 (1138 Rated),4 (1024 Rated),-,6,23.15 (06/30/2021),1.13 (06/30/2021),1.13 (06/30/2021),0.93 (06/30/2021),10 years,12/08/2011,$201.19,17% (10/31/2020),"$100,000.00",N,1.30%,1.30%,N,  83% (1239 Funds),  11% (1138 Funds),  14% (1024 Funds),-,-,-,"$100,000",-,-,$   0.00 (12/29/2015),11.44% (7/15/2021),8.20% (6/30/2021),13.10% (6/30/2021),10.05% (6/30/2021),$41.80,-$0.42,-0.99%,-,-,"$100,000.00",$   0.00 (12/29/2015)
Dunham Large Cap Value Fund Class A (DALVX),Large Value,17.92%,42.30% (6/30/2021),12.07% (6/30/2021),11.31% (6/30/2021),9.78% (6/30/2021),7.10% (6/30/2021),1.49%,1.49%,3 (1141 Rated),3 (1141 Rated),3 (1012 Rated),2 (740 Rated),6,18.65 (06/30/2021),0.58 (06/30/2021),0.92 (06/30/2021),0.99 (06/30/2021),6 years,12/10/2004,$145.68,43% (10/31/2020),"$5,000.00",Y,1.49%,1.49%,N,  52% (1210 Funds),  49% (1141 Funds),  67% (1012 Funds),  84% (740 Funds),-,-,"$5,000",-,-,$0.1206 (12/30/2020),17.92% (7/15/2021),-1.14% (6/30/2021),4.54% (6/30/2021),17.34% (6/30/2021),$18.29,-$0.01,-0.05%,-,-,"$5,000.00",$0.1206 (12/30/2020)
Dunham Large Cap Value Fund Class C (DCLVX),Large Value,17.41%,41.25% (6/30/2021),11.24% (6/30/2021),10.47% (6/30/2021),8.96% (6/30/2021),6.30% (6/30/2021),2.24%,2.24%,2 (1141 Rated),3 (1141 Rated),2 (1012 Rated),2 (740 Rated),6,18.66 (06/30/2021),0.53 (06/30/2021),0.92 (06/30/2021),0.99 (06/30/2021),6 years,12/10/2004,$145.68,43% (10/31/2020),"$5,000.00",N,2.24%,2.24%,N,  57% (1210 Funds),  61% (1141 Funds),  79% (1012 Funds),  92% (740 Funds),-,-,"$5,000",-,-,$0.0454 (12/30/2020),17.41% (7/15/2021),-1.26% (6/30/2021),4.36% (6/30/2021),16.87% (6/30/2021),$17.33,-$0.01,-0.06%,-,-,"$5,000.00",$0.0454 (12/30/2020)
Dunham Large Cap Value Fund Class N (DNLVX),Large Value,18.10%,42.68% (6/30/2021),12.38% (6/30/2021),11.59% (6/30/2021),10.07% (6/30/2021),7.37% (6/30/2021),1.24%,1.24%,3 (1141 Rated),3 (1141 Rated),3 (1012 Rated),2 (740 Rated),6,18.68 (06/30/2021),0.59 (06/30/2021),0.93 (06/30/2021),0.99 (06/30/2021),6 years,12/10/2004,$145.68,43% (10/31/2020),"$100,000.00",N,1.24%,1.24%,N,  50% (1210 Funds),  42% (1141 Funds),  61% (1012 Funds),  78% (740 Funds),-,-,"$100,000",-,-,$0.1533 (12/30/2020),18.10% (7/15/2021),-1.13% (6/30/2021),4.63% (6/30/2021),17.52% (6/30/2021),$18.40,-$0.01,-0.05%,-,-,"$100,000.00",$0.1533 (12/30/2020)
Dunham Small Cap Growth Fund Class A (DADGX),Small Growth,4.97%,63.64% (6/30/2021),24.25% (6/30/2021),25.89% (6/30/2021),15.49% (6/30/2021),12.19% (6/30/2021),2.03%,2.03%,4 (576 Rated),4 (576 Rated),4 (505 Rated),4 (379 Rated),7,27.21 (06/30/2021),0.84 (06/30/2021),1.01 (06/30/2021),0.91 (06/30/2021),13 years,12/10/2004,$82.82,178% (10/31/2020),"$5,000.00",Y,2.03%,2.03%,N,  20% (612 Funds),  19% (576 Funds),  18% (505 Funds),  22% (379 Funds),-,-,"$5,000",-,-,$0.2293 (12/30/2020),4.97% (7/15/2021),5.88% (6/30/2021),6.95% (6/30/2021),11.61% (6/30/2021),$23.87,-$0.34,-1.40%,-,-,"$5,000.00",$0.2293 (12/30/2020)
Dunham Small Cap Growth Fund Class N (DNDGX),Small Growth,5.14%,64.10% (6/30/2021),24.57% (6/30/2021),26.21% (6/30/2021),15.79% (6/30/2021),12.46% (6/30/2021),1.78%,1.78%,4 (576 Rated),4 (576 Rated),4 (505 Rated),4 (379 Rated),7,27.18 (06/30/2021),0.86 (06/30/2021),1.01 (06/30/2021),0.91 (06/30/2021),13 years,12/10/2004,$82.82,178% (10/31/2020),"$100,000.00",N,1.78%,1.78%,N,  19% (612 Funds),  18% (576 Funds),  15% (505 Funds),  21% (379 Funds),-,-,"$100,000",-,-,$0.2761 (12/30/2020),5.14% (7/15/2021),5.96% (6/30/2021),7.04% (6/30/2021),11.79% (6/30/2021),$25.59,-$0.36,-1.39%,-,-,"$100,000.00",$0.2761 (12/30/2020)
Dunham Small Cap Value Fund Class A (DASVX),Small Value,21.02%,58.33% (6/30/2021),7.81% (6/30/2021),11.62% (6/30/2021),9.29% (6/30/2021),6.58% (6/30/2021),1.51%,1.51%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,26.08 (06/30/2021),0.25 (06/30/2021),0.96 (06/30/2021),0.97 (06/30/2021),8 years,12/10/2004,$81.04,135% (10/31/2020),"$5,000.00",Y,1.51%,1.51%,N,  82% (433 Funds),  65% (409 Funds),  60% (383 Funds),  71% (285 Funds),-,-,"$5,000",-,-,$0.106 (12/30/2020),21.02% (7/15/2021),-1.76% (6/30/2021),4.01% (6/30/2021),24.63% (6/30/2021),$17.39,-$0.07,-0.40%,-,-,"$5,000.00",$0.106 (12/30/2020)
Dunham Small Cap Value Fund Class N (DNSVX),Small Value,21.23%,58.78% (6/30/2021),8.10% (6/30/2021),11.92% (6/30/2021),9.54% (6/30/2021),6.83% (6/30/2021),1.26%,1.26%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,26.12 (06/30/2021),0.26 (06/30/2021),0.96 (06/30/2021),0.97 (06/30/2021),8 years,12/10/2004,$81.04,135% (10/31/2020),"$100,000.00",N,1.26%,1.26%,N,  82% (433 Funds),  62% (409 Funds),  53% (383 Funds),  63% (285 Funds),-,-,"$100,000",-,-,$0.1402 (12/30/2020),21.23% (7/15/2021),-1.73% (6/30/2021),4.05% (6/30/2021),24.79% (6/30/2021),$17.70,-$0.06,-0.34%,-,-,"$100,000.00",$0.1402 (12/30/2020)
DWS Capital Growth Fund - Class A (SDGAX),Large Growth,14.09%,37.24% (6/30/2021),24.41% (6/30/2021),22.79% (6/30/2021),16.63% (6/30/2021),6.74% (6/30/2021),0.92%,0.92%,3 (1138 Rated),4 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,19.07 (06/30/2021),1.21 (06/30/2021),0.95 (06/30/2021),0.98 (06/30/2021),5 years,07/14/2000,"$2,291.97",12% (09/30/2020),"$2,500.00",Y,0.92%,0.92%,Y,  76% (1239 Funds),  29% (1138 Funds),  40% (1024 Funds),  37% (761 Funds),-,-,"$2,500",-,0.00% (06/30/2021),$0.0406 (12/12/2019),14.09% (7/15/2021),6.69% (6/30/2021),11.87% (6/30/2021),12.03% (6/30/2021),$124.94,-$0.61,-0.49%,-,-,"$2,500.00",$0.0406 (12/12/2019)
DWS Capital Growth Fund - Class C (SDGCX),Large Growth,13.56%,36.08% (6/30/2021),23.38% (6/30/2021),21.76% (6/30/2021),15.68% (6/30/2021),5.88% (6/30/2021),1.75%,1.75%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,19.05 (06/30/2021),1.16 (06/30/2021),0.95 (06/30/2021),0.98 (06/30/2021),5 years,07/14/2000,"$2,291.97",12% (09/30/2020),"$2,500.00",N,1.75%,1.75%,N,  83% (1239 Funds),  39% (1138 Funds),  49% (1024 Funds),  56% (761 Funds),-,-,"$2,500",-,0.00% (06/30/2021),$   0.00 (12/11/2015),13.56% (7/15/2021),6.61% (6/30/2021),11.63% (6/30/2021),11.54% (6/30/2021),$99.56,-$0.49,-0.49%,-,-,"$2,500.00",$   0.00 (12/11/2015)
